Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Country
1946,Bachelor,Married,"78,569",0,0,558,79,622,207,175,1,4,6,4,SP
1966,PhD,Married,"57,705",0,1,383,0,53,6,4,3,8,1,6,SP
1955,Master,Together,"74,805",0,1,209,162,209,41,162,5,4,7,10,SP
1961,PhD,Together,"66,426",0,1,1043,24,97,32,24,2,3,5,10,SP
1949,Master,Widow,"51,529",0,1,400,4,35,6,0,2,9,1,5,SP
1946,Bachelor,Married,"18,100",0,0,3,1,2,4,3,1,0,0,3,SP
1977,Master,Divorced,"59,601",0,1,691,7,69,0,7,4,2,2,7,US
1977,Master,Together,"20,981",0,0,2,12,10,6,13,1,3,1,2,CA
1976,Bachelor,Married,"74,068",0,0,783,30,537,140,76,1,4,10,9,IND
1983,Bachelor,Married,"36,790",0,0,3,3,14,15,21,1,2,1,2,SP
1971,Bachelor,Married,"18,793",1,0,4,16,20,0,17,3,2,0,4,SA
1954,Bachelor,Widow,"27,421",0,0,43,12,96,78,40,3,4,1,6,SP
1972,Bachelor,Married,"30,675",1,0,10,2,16,11,2,1,1,0,3,SP
1974,Bachelor,Together,"83,145",0,0,777,35,731,39,137,1,5,9,11,SP
1968,Master,Together,"34,053",0,1,63,0,21,7,0,1,3,0,3,SP
1983,Master,Single,"31,788",1,0,16,7,23,0,8,3,3,0,4,SA
1974,Master,Married,"45,894",0,2,27,2,7,0,2,1,1,0,3,SP
1978,Bachelor,Divorced,"41,986",0,1,27,5,8,8,3,3,3,0,4,SP
1962,PhD,Married,"42,769",0,1,71,0,13,3,1,2,1,1,4,CA
1982,Master,Together,"58,582",0,1,402,35,106,101,77,2,9,2,9,SP
1964,Bachelor,Married,"49,096",1,1,144,1,32,2,1,4,4,1,4,CA
1980,PhD,Single,"76,412",0,0,840,53,804,23,71,1,5,4,8,CA
1990,Bachelor,Married,"18,929",0,0,32,0,8,23,4,1,1,0,4,SP
1990,Bachelor,Married,"18,929",0,0,32,0,8,23,4,1,1,0,4,SP
1990,Bachelor,Married,"18,929",0,0,32,0,8,23,4,1,1,0,4,IND
1986,Master,Single,"21,888",1,0,88,10,46,2,3,4,5,1,2,SP
1978,Bachelor,Together,"41,580",1,1,56,5,24,4,0,3,2,1,3,SP
1979,PhD,Married,"31,605",1,0,74,0,42,2,1,2,2,1,4,SP
1974,PhD,Divorced,"25,509",1,0,40,3,30,10,7,3,3,0,3,SP
1974,PhD,Divorced,"25,509",1,0,40,3,30,10,7,3,3,0,3,SP
1959,Master,Widow,"33,051",0,0,100,71,243,108,94,3,9,1,8,SP
1966,PhD,Together,"28,764",1,1,8,0,3,0,0,1,1,0,2,SP
1983,Master,Married,"32,146",1,0,26,3,23,4,7,2,2,0,4,CA
1983,Bachelor,Single,"22,148",0,0,15,5,14,0,4,1,1,0,3,SP
1979,Bachelor,Married,"36,781",1,0,29,1,17,0,3,1,2,1,2,SP
1960,Master,Married,"54,197",0,1,162,6,37,6,13,2,1,3,6,SP
1970,Bachelor,Single,"93,790",0,0,1302,68,731,89,114,0,6,7,12,CA
1972,Bachelor,Single,"24,762",1,0,6,10,12,3,15,3,3,1,2,SA
1984,Master,Married,"30,477",1,0,47,1,6,0,0,1,1,1,3,IND
1975,Master,Divorced,"11,448",0,0,0,0,0,6,2,1,1,0,2,SP
1967,Bachelor,Divorced,"70,844",1,1,129,26,67,3,67,5,6,1,5,GER
1980,Bachelor,Single,"30,828",1,0,16,11,15,2,0,2,1,1,4,AUS
1967,Master,Together,"62,513",0,1,520,42,98,0,42,2,6,4,10,US
1981,Master,Married,"27,733",1,0,0,7,5,26,2,2,2,0,3,GER
1973,PhD,Together,"39,435",1,0,71,0,18,0,0,1,3,1,2,SP
1970,Master,Single,"75,345",0,0,918,57,842,99,38,1,5,8,6,SP
1986,Master,Together,"20,491",0,0,5,4,5,4,2,1,0,1,2,GER
1971,Bachelor,Married,"36,715",1,0,172,10,125,21,13,6,7,2,4,SP
1959,Bachelor,Together,"71,706",0,1,931,56,253,91,98,4,9,5,7,CA
1966,PhD,Married,"69,063",0,1,666,35,124,69,8,1,5,3,5,SP
1988,Bachelor,Married,"24,645",1,0,5,3,4,4,1,1,1,0,2,SA
1975,Bachelor,Married,"35,797",0,1,27,1,14,4,1,2,2,0,3,SA
1969,Bachelor,Married,"44,078",1,1,24,1,10,2,0,2,2,0,3,SA
1971,Bachelor,Single,"26,954",1,0,4,1,11,0,0,1,1,0,2,SP
1972,PhD,Together,,1,0,25,1,13,0,0,1,1,0,3,AUS
1972,PhD,Together,"38,887",1,0,25,1,13,0,0,1,1,0,3,AUS
1974,Master,Married,"65,463",1,0,391,32,70,21,32,2,6,2,9,SP
1959,PhD,Together,"53,537",1,1,81,0,6,0,0,2,2,1,3,IND
1971,Master,Single,"36,230",1,0,14,2,30,8,2,1,2,0,4,SP
1950,Bachelor,Married,"80,763",0,0,674,168,108,192,42,1,5,11,6,SA
1971,PhD,Married,"60,585",1,1,267,42,309,55,42,10,7,4,9,CA
1974,Bachelor,Single,"49,166",0,1,224,2,25,7,0,2,5,3,3,IND
1955,PhD,Together,"75,261",0,0,1239,17,413,23,34,1,5,6,5,SP
1991,Bachelor,Together,"89,891",0,0,412,22,132,59,28,1,11,6,8,AUS
1962,Master,Married,"72,828",0,1,1205,0,235,19,14,6,6,3,13,SP
1952,Bachelor,Together,"75,278",0,0,304,98,230,150,74,1,6,3,13,SA
1978,Bachelor,Single,"38,557",1,0,76,3,31,4,4,2,3,1,3,CA
1963,PhD,Married,"81,300",0,1,1004,12,145,32,12,3,10,3,5,SP
1965,Master,Divorced,"60,161",0,1,584,44,212,46,8,3,11,4,8,CA
1977,PhD,Married,"69,389",0,1,422,7,238,69,46,1,7,2,12,AUS
1954,Bachelor,Divorced,"64,497",0,1,1170,48,320,42,32,5,11,4,9,SA
1980,Bachelor,Married,"61,014",0,1,269,129,495,182,43,4,9,3,4,IND
1975,Master,Married,"44,319",1,1,26,0,8,0,0,2,2,0,3,SA
1957,Master,Married,"53,233",0,1,28,0,9,3,0,1,1,0,3,CA
1954,Bachelor,Together,"77,972",0,0,613,22,319,33,102,1,4,6,9,SA
1987,Bachelor,Divorced,"81,361",0,0,163,23,424,27,65,1,3,10,13,GER
1987,Bachelor,Divorced,"81,361",0,0,163,23,424,27,65,1,3,10,13,SA
1984,High School,Single,"25,707",1,0,1,6,2,3,6,1,1,0,3,SP
1971,PhD,Married,"42,403",1,0,22,1,11,0,5,1,1,0,3,SP
1972,Master,Single,"65,704",0,0,279,172,74,38,8,1,2,10,10,GER
1980,Bachelor,Married,"37,406",1,0,2,0,8,2,2,1,1,0,2,SP
1951,Master,Together,"39,767",0,0,113,61,204,34,26,2,7,1,7,SP
1979,Master,Married,"54,210",0,1,70,54,109,80,9,2,4,1,7,SP
1967,Bachelor,Divorced,"57,136",0,0,267,140,599,34,12,1,7,5,7,SA
1975,Bachelor,Married,"40,794",0,1,261,23,73,4,23,2,6,3,5,SP
1965,Bachelor,Together,"83,003",0,0,856,61,570,40,25,1,7,6,8,SP
1960,Master,Married,"89,058",0,0,454,194,106,31,22,1,5,4,4,CA
1991,Master,Together,"20,193",0,0,8,8,22,24,11,1,1,1,4,SP
1974,Bachelor,Married,"72,099",0,0,546,91,410,119,0,1,3,4,10,SP
1971,Bachelor,Married,"43,824",1,1,96,1,42,12,3,4,3,1,4,SP
1975,Bachelor,Together,"66,653",1,1,452,18,102,16,18,4,4,2,12,AUS
1978,Bachelor,Married,"44,359",1,1,20,0,14,7,3,3,2,0,4,SP
1961,Bachelor,Married,"79,410",0,0,658,80,483,123,13,1,3,2,5,SP
1977,Master,Married,"55,842",0,1,451,0,39,0,4,1,7,1,8,SP
1966,Bachelor,Widow,"79,946",0,0,395,183,565,166,141,1,5,11,5,SA
1979,Master,Single,"88,194",0,1,688,14,309,201,24,1,11,10,10,GER
1944,Master,Married,"80,184",0,0,1035,134,670,25,38,1,6,3,10,SP
1967,Bachelor,Divorced,"76,982",0,0,464,151,292,65,60,1,8,3,4,SP
1980,PhD,Single,"65,295",0,0,365,32,117,34,110,1,3,3,13,US
1973,Bachelor,Together,"57,100",0,0,181,21,69,39,3,1,3,3,6,SA
1981,Bachelor,Married,"29,009",1,0,6,6,15,10,5,2,2,0,3,US
1971,PhD,Married,"78,931",0,0,331,197,170,58,152,1,2,8,13,CA
1975,Master,Married,"7,500",1,0,3,1,10,3,2,3,2,0,3,AUS
1976,Bachelor,Married,"56,939",0,1,256,34,103,90,29,2,3,3,10,SP
1990,Bachelor,Single,"64,509",0,0,836,185,575,24,25,1,6,3,9,SA
1990,Bachelor,Married,"30,093",0,0,2,6,28,13,4,1,2,0,3,SP
1974,PhD,Together,"30,351",1,0,14,0,24,3,3,1,3,0,2,US
1974,PhD,Together,"30,351",1,0,14,0,24,3,3,1,3,0,2,SP
1960,PhD,Together,"38,201",0,1,233,0,23,0,0,4,5,1,5,SA
1986,Bachelor,Single,,1,0,5,1,3,3,263,0,27,0,0,AUS
1980,PhD,Married,"43,974",1,0,378,0,101,0,0,5,6,4,6,CA
1970,Bachelor,Together,"38,200",1,1,12,0,4,0,0,1,1,0,2,SP
1960,Master,Divorced,"87,305",0,0,345,25,501,63,138,1,5,3,8,AUS
1961,Bachelor,Married,"16,860",1,1,10,4,4,3,3,3,1,1,3,SP
1972,PhD,Single,"27,213",1,0,19,3,26,10,9,3,2,0,4,SP
1976,Bachelor,Married,"7,500",1,0,7,0,12,13,7,5,4,1,2,AUS
1965,Bachelor,Divorced,"4,861",0,0,2,1,1,1,0,0,0,0,0,SA
1971,Master,Married,"38,196",1,1,30,0,11,0,0,3,2,0,4,SP
1950,PhD,Married,"41,145",1,1,9,0,3,0,0,1,0,0,3,CA
1982,PhD,Single,"38,513",1,0,172,3,115,16,0,5,6,1,5,SP
1968,Bachelor,Married,"45,688",0,1,279,0,18,0,0,2,3,1,8,SP
1958,PhD,Together,"77,863",0,0,881,38,319,16,25,1,4,5,10,SP
1969,Master,Married,"42,169",1,1,19,0,9,0,0,2,1,0,3,SP
1964,Bachelor,Single,"45,906",0,1,305,3,27,4,3,2,5,4,4,SP
1988,Master,Divorced,"35,388",1,0,6,4,7,4,3,1,1,0,3,SA
1969,Bachelor,Married,"80,952",0,0,778,178,689,41,27,1,8,5,11,GER
1954,Bachelor,Together,"39,898",0,1,69,8,26,12,7,2,3,0,4,CA
1954,Bachelor,Together,"39,898",0,1,69,8,26,12,7,2,3,0,4,SP
1973,Master,Divorced,"44,051",1,1,79,7,58,6,3,4,3,1,4,SA
1954,Bachelor,Married,"86,718",0,0,344,189,482,50,33,1,5,6,5,IND
1986,Master,Married,"80,141",0,0,1184,102,673,52,40,1,7,4,10,SP
1976,Bachelor,Married,"58,597",1,1,490,0,184,10,28,12,7,4,9,IND
1945,PhD,Married,"70,356",0,0,1349,16,249,43,16,2,10,6,9,CA
1967,Bachelor,Single,"46,904",1,1,153,4,56,0,9,4,5,1,4,SP
1946,Bachelor,Together,"37,760",0,0,84,5,38,150,12,2,4,1,6,US
1946,Bachelor,Together,"37,760",0,0,84,5,38,150,12,2,4,1,6,SA
1964,Bachelor,Single,"61,839",0,0,1000,155,379,224,17,1,4,8,4,SP
1972,PhD,Married,"29,791",1,0,14,0,6,0,0,2,2,0,3,AUS
1963,PhD,Single,"48,918",1,1,52,0,9,0,0,2,1,0,4,SP
1963,PhD,Single,"48,918",1,1,52,0,9,0,0,2,1,0,4,SP
1965,Bachelor,Married,"58,692",0,1,301,11,61,4,7,1,8,2,4,CA
1976,Bachelor,Married,"39,356",1,1,15,0,2,0,0,1,1,0,2,SP
1972,Master,Married,"76,234",0,1,519,50,167,130,0,1,8,3,11,CA
1984,Bachelor,Married,"55,434",1,0,238,115,215,169,69,3,5,3,13,SA
1946,Master,Married,"66,835",0,0,620,26,195,34,17,1,6,4,13,IND
1946,Master,Married,"66,835",0,0,620,26,195,34,17,1,6,4,13,SP
1951,Bachelor,Married,"71,965",0,1,572,19,286,50,38,3,6,3,5,CA
1971,Bachelor,Together,"74,538",0,0,380,98,733,110,112,1,8,8,5,SP
1954,Bachelor,Divorced,"50,002",0,1,443,5,71,21,16,2,8,2,7,SA
1958,Bachelor,Together,"53,977",0,1,620,16,165,0,24,5,5,5,12,CA
1958,Bachelor,Together,"53,977",0,1,620,16,165,0,24,5,5,5,12,SP
1971,Bachelor,Together,"69,930",0,0,252,98,827,219,70,1,4,5,12,IND
1967,PhD,Together,"62,981",0,0,796,14,590,38,44,1,4,5,13,CA
1974,Master,Together,"46,014",1,1,410,0,59,19,9,10,7,1,8,SA
1987,Bachelor,Together,"18,227",1,0,1,2,7,4,3,1,0,1,2,SP
1976,Bachelor,Married,"65,991",0,1,507,19,364,25,47,3,9,5,10,SP
1972,Bachelor,Single,"38,808",1,0,125,17,52,3,19,4,5,1,4,SP
1982,PhD,Married,"160,803",0,0,55,16,1622,17,3,15,0,28,1,US
1978,Master,Married,"43,783",1,0,327,9,125,25,4,6,7,1,8,CA
1969,PhD,Married,"30,396",1,0,15,0,6,0,1,2,1,1,2,SP
1964,PhD,Married,"65,526",0,1,397,19,69,12,0,1,4,4,8,SP
1964,PhD,Married,"65,526",0,1,397,19,69,12,0,1,4,4,8,SA
1944,Bachelor,Married,"55,956",0,0,760,38,104,50,9,2,7,3,4,SP
1978,Bachelor,Divorced,"55,563",0,1,29,1,9,2,0,1,2,0,3,SP
1965,PhD,Married,"57,236",1,1,105,0,9,2,1,3,2,1,4,SP
1973,Bachelor,Divorced,"89,694",1,1,1126,28,211,37,28,3,4,3,4,AUS
1971,Master,Together,"57,420",0,1,280,0,18,0,0,3,5,1,6,US
1972,Bachelor,Married,"33,622",1,1,39,1,22,3,4,3,2,0,4,GER
1986,PhD,Single,"29,999",1,0,68,7,59,10,5,4,3,1,4,SP
1962,PhD,Together,"31,497",0,1,108,1,28,13,1,2,3,1,4,SP
1962,PhD,Together,"31,497",0,1,108,1,28,13,1,2,3,1,4,SA
1980,PhD,Single,"36,802",1,0,16,1,2,0,0,1,1,0,3,SP
1968,Bachelor,Divorced,"61,671",0,1,641,7,56,0,0,8,10,4,6,SP
1971,PhD,Together,"29,732",1,0,25,0,8,0,1,1,2,0,2,CA
1986,PhD,Married,"45,921",0,0,102,9,49,24,3,1,2,1,6,SA
1984,Bachelor,Together,"16,529",1,0,3,0,5,13,0,1,1,0,3,CA
1960,Master,Single,"98,777",0,0,1000,19,711,125,115,0,4,6,9,SP
1960,Master,Single,"98,777",0,0,1000,19,711,125,115,0,4,6,9,SP
1952,Master,Married,"77,027",0,1,820,57,242,45,0,2,8,3,6,SP
1965,Bachelor,Married,"69,139",0,1,86,12,75,33,15,1,4,1,5,SP
1965,Bachelor,Married,"69,139",0,1,86,12,75,33,15,1,4,1,5,SA
1982,Bachelor,Married,"65,169",0,0,1074,0,69,0,0,1,10,4,13,SP
1952,Bachelor,Widow,"40,049",0,1,13,6,7,0,3,1,1,0,3,SP
1945,Bachelor,Married,"69,755",0,0,217,77,373,111,23,1,3,6,12,SA
1961,PhD,Married,,0,1,352,0,27,10,0,3,6,1,7,CA
1961,PhD,Married,"54,456",0,1,352,0,27,10,0,3,6,1,7,SP
1977,Bachelor,Together,"666,666",1,0,9,14,18,8,1,4,3,1,3,SA
1951,Bachelor,Single,"60,689",0,1,240,90,216,63,6,4,4,4,10,US
1978,High School,Single,"26,487",1,0,2,8,10,12,14,3,2,1,3,CA
1970,Bachelor,Married,"28,164",1,0,3,18,26,11,8,3,2,0,4,GER
1970,Bachelor,Single,"22,585",0,0,3,9,15,13,2,1,1,1,2,SP
1971,Bachelor,Married,"64,795",0,1,412,5,119,38,29,3,3,3,12,SP
1987,PhD,Single,"42,000",0,0,124,83,267,85,59,2,5,2,11,SP
1987,PhD,Single,"42,000",0,0,124,83,267,85,59,2,5,2,11,AUS
1966,Bachelor,Together,"70,713",0,1,736,114,279,82,76,6,5,6,8,SP
1946,PhD,Single,"82,800",0,0,1006,22,115,59,68,1,7,6,12,US
1946,PhD,Single,"82,800",0,0,1006,22,115,59,68,1,7,6,12,SA
1975,High School,Married,"30,801",0,1,8,4,5,15,2,2,1,0,3,SP
1974,Master,Married,"83,891",0,1,217,38,350,111,85,1,4,7,10,SP
1950,Master,Divorced,"38,054",1,1,23,2,17,2,1,2,2,0,3,IND
1969,Bachelor,Married,"14,045",1,0,11,0,5,2,1,1,1,0,3,SP
1957,PhD,Married,"44,155",1,1,22,1,9,0,0,1,1,1,2,SP
1970,PhD,Single,"57,642",0,1,580,6,58,8,0,3,7,6,6,IND
1977,Bachelor,Married,"31,353",1,1,10,0,10,3,1,2,1,1,2,IND
1977,Bachelor,Married,"31,353",1,1,10,0,10,3,1,2,1,1,2,SA
1968,Master,Divorced,"41,335",1,0,112,19,21,16,14,3,4,1,4,AUS
1968,Master,Divorced,"41,335",1,0,112,19,21,16,14,3,4,1,4,US
1957,PhD,Single,"40,737",2,1,11,0,4,0,0,1,1,0,2,SA
1975,Master,Together,"19,789",1,0,2,5,9,28,6,3,2,1,3,SP
1949,PhD,Divorced,"35,946",1,1,8,0,3,0,0,1,0,0,3,AUS
1983,Master,Married,"36,262",0,0,88,39,54,64,28,1,3,5,3,SP
1954,Master,Widow,"44,551",0,1,182,4,33,0,0,2,4,1,5,SA
1959,Bachelor,Together,"71,367",0,0,227,23,389,42,21,1,4,5,7,SP
1959,Bachelor,Together,"71,367",0,0,227,23,389,42,21,1,4,5,7,SP
1959,Bachelor,Together,"57,957",0,1,290,59,177,77,5,7,4,6,8,CA
1972,Master,Together,"50,334",0,1,284,16,160,84,16,6,7,4,6,SA
1949,Master,Married,"48,150",0,1,173,2,39,3,2,3,5,1,4,GER
1969,Bachelor,Married,"56,796",0,1,656,38,161,62,47,3,8,9,7,SP
1969,Bachelor,Married,"56,796",0,1,656,38,161,62,47,3,8,9,7,AUS
1963,PhD,Widow,"52,278",0,1,953,0,71,0,0,6,10,5,10,SA
1963,PhD,Widow,"52,278",0,1,953,0,71,0,0,6,10,5,10,SP
1996,Master,Married,"7,500",0,0,3,18,14,15,22,3,3,1,3,AUS
1952,Master,Married,"33,444",1,1,8,0,8,0,0,1,1,0,2,SP
1973,Bachelor,Married,"20,895",1,0,18,3,17,3,0,1,2,0,3,AUS
1976,Master,Together,"37,509",1,0,37,5,56,12,8,2,3,0,4,GER
1978,Master,Married,"88,097",1,0,163,0,480,0,126,1,6,5,8,SP
1973,Bachelor,Married,"59,041",1,1,69,2,15,2,2,2,2,0,4,SA
1974,Bachelor,Single,"43,322",0,0,56,7,48,10,2,1,3,0,4,IND
1955,PhD,Together,"46,015",1,1,38,0,2,0,0,1,1,0,3,SA
1955,PhD,Together,"46,015",1,1,38,0,2,0,0,1,1,0,3,CA
1959,Master,Married,"34,242",0,1,8,2,4,0,0,1,0,0,3,SP
1955,Bachelor,Married,"65,210",0,1,626,0,70,0,7,2,9,3,8,CA
1958,PhD,Widow,"50,520",0,1,112,0,6,2,1,2,3,1,3,SP
1970,Bachelor,Married,"90,765",0,0,547,99,812,151,82,0,4,6,5,CA
1944,Bachelor,Married,"80,589",0,0,507,93,520,242,40,1,5,10,5,AUS
1958,Master,Married,"49,572",1,1,35,1,16,0,1,2,2,0,3,CA
1978,Bachelor,Together,"75,437",0,0,795,0,545,95,58,1,8,4,10,SP
1971,Master,Divorced,"44,635",1,1,56,0,9,0,0,2,2,0,3,SP
1964,Bachelor,Married,"58,512",0,1,895,10,101,13,0,5,3,4,8,GER
1952,PhD,Single,"62,000",0,1,899,0,101,0,0,1,6,6,13,SP
1956,Bachelor,Single,"54,252",1,1,178,4,26,8,4,5,4,1,5,AUS
1974,PhD,Together,"45,068",0,1,14,0,3,0,0,1,1,0,2,SP
1979,Bachelor,Single,"60,474",0,1,265,199,303,234,9,7,10,2,12,IND
1979,Bachelor,Single,"60,474",0,1,265,199,303,234,9,7,10,2,12,CA
1981,Master,Married,"56,337",1,1,349,16,144,28,5,5,8,5,4,SP
1987,Bachelor,Together,"22,434",1,0,4,12,11,3,13,2,2,0,3,SP
1982,Bachelor,Together,"61,416",0,0,848,154,323,201,61,1,10,3,10,US
1975,Master,Married,"92,163",0,0,817,183,797,106,163,0,5,11,5,SP
1956,Master,Together,"58,656",0,1,962,12,194,16,24,4,7,8,13,SP
1973,Master,Married,,1,0,25,3,43,17,4,3,3,0,3,GER
1986,High School,Single,"8,940",1,0,1,45,3,4,6,3,3,1,3,SP
1974,Bachelor,Married,"26,751",2,0,1,1,5,0,3,1,1,0,2,SP
1978,Bachelor,Married,"71,427",2,0,212,123,177,15,64,2,8,2,8,US
1984,Bachelor,Together,"26,646",1,0,11,4,20,10,3,2,2,0,4,US
1974,Bachelor,Divorced,"19,346",1,0,2,0,9,3,6,1,1,0,3,CA
1975,Bachelor,Single,"56,243",1,2,347,0,35,4,3,6,4,2,8,US
1970,PhD,Married,"59,892",0,1,73,0,13,0,1,1,2,1,3,CA
1965,Bachelor,Together,"71,613",0,0,426,49,127,111,21,1,8,2,10,US
1986,Bachelor,Married,"25,252",1,0,1,3,4,2,2,1,1,0,2,AUS
1975,Bachelor,Single,"42,160",1,1,48,9,45,3,15,4,2,1,4,SP
1979,High School,Single,"15,862",1,0,1,1,4,11,9,1,1,0,3,SP
1974,Master,Married,"82,584",0,0,1076,68,103,29,91,1,3,4,8,SP
1989,Bachelor,Married,"38,360",1,0,36,2,42,20,21,2,2,1,4,AUS
1957,PhD,Married,"75,283",1,2,733,9,180,12,19,11,6,3,5,SA
1956,Master,Together,"34,941",1,1,39,2,25,4,3,2,3,0,3,AUS
1952,Bachelor,Single,"61,823",0,1,523,7,134,37,14,4,8,2,10,AUS
1956,Master,Married,"90,226",0,0,1083,108,649,253,151,1,4,7,12,SA
1974,Bachelor,Married,"44,989",0,1,98,0,106,49,10,5,5,1,5,SP
1974,Bachelor,Married,"44,989",0,1,98,0,106,49,10,5,5,1,5,SP
1980,Bachelor,Married,"43,586",0,1,99,2,11,4,0,3,3,0,4,GER
1974,Bachelor,Single,"32,233",1,0,138,15,35,25,11,2,6,2,2,SP
1969,Bachelor,Together,"62,882",0,1,509,133,497,78,24,2,7,5,6,AUS
1963,Master,Together,"57,288",0,1,527,0,21,0,0,3,8,1,8,CA
1981,Master,Together,"75,774",1,0,340,21,134,258,14,1,7,5,8,SA
1981,Master,Together,"75,774",1,0,340,21,134,258,14,1,7,5,8,SP
1988,Master,Single,"90,247",0,0,1184,32,352,21,16,1,3,4,7,US
1960,Master,Single,"32,218",0,0,10,24,15,13,1,1,2,1,3,SP
1988,Bachelor,Married,"84,219",0,0,434,137,400,45,137,1,3,4,10,SA
1988,Bachelor,Married,"84,219",0,0,434,137,400,45,137,1,3,4,10,CA
1966,Bachelor,Divorced,"48,877",0,1,102,1,15,2,0,1,3,0,4,SP
1950,Bachelor,Together,"60,905",0,1,208,17,76,36,17,2,3,3,7,US
1964,Bachelor,Married,"75,236",0,1,438,66,400,12,38,1,8,3,13,SP
1953,Bachelor,Divorced,"62,551",0,0,125,16,98,134,21,1,6,7,4,IND
1983,PhD,Together,"70,123",0,0,1308,0,396,23,0,1,5,7,4,IND
1962,Bachelor,Single,"50,785",1,1,64,1,21,0,1,2,2,1,3,CA
1970,Master,Married,"15,315",0,0,7,4,13,15,8,2,2,0,4,SP
1970,Master,Married,"15,315",0,0,7,4,13,15,8,2,2,0,4,SP
1970,PhD,Together,"64,413",0,1,200,5,44,0,10,1,5,1,5,SP
1981,PhD,Married,"87,171",0,0,1001,44,107,58,44,1,6,7,11,SP
1961,Bachelor,Single,"30,081",0,1,36,0,2,0,0,1,1,0,3,SP
1976,Bachelor,Single,"20,180",0,0,18,42,24,15,20,1,2,1,4,SP
1976,Bachelor,Single,"20,180",0,0,18,42,24,15,20,1,2,1,4,SP
1966,Bachelor,Divorced,"55,686",0,1,673,0,199,37,47,2,6,3,5,SP
1959,Master,Married,"26,887",0,1,6,7,4,3,4,1,1,0,3,SP
1977,PhD,Married,"61,996",0,1,1050,12,144,0,0,3,6,4,8,SP
1952,Bachelor,Divorced,"51,537",0,1,787,20,204,0,0,3,2,2,11,SA
1962,Bachelor,Together,"72,025",0,0,833,33,549,151,133,1,4,3,8,SP
1971,Master,Together,"30,538",1,0,284,0,52,8,3,4,9,0,4,SP
1991,Master,Single,"61,618",0,0,605,91,399,0,45,2,3,6,8,IND
1965,Bachelor,Married,"77,343",0,0,227,151,573,98,54,1,3,4,9,CA
1989,Bachelor,Married,"75,433",1,0,800,0,297,0,34,2,2,5,10,SP
1962,PhD,Widow,"82,571",0,0,861,31,558,62,95,0,6,5,13,SP
1954,Master,Together,"60,033",0,1,62,1,57,19,11,2,2,1,5,SP
1983,Bachelor,Single,"39,062",1,0,23,0,9,0,0,1,1,0,3,SP
1972,Bachelor,Married,"30,023",1,0,11,0,16,7,6,1,2,0,3,SP
1970,Bachelor,Single,"30,015",1,0,25,0,22,2,3,2,1,0,4,SP
1980,Bachelor,Married,"33,228",1,0,22,2,31,7,4,1,2,0,3,SP
1967,Bachelor,Married,"22,574",2,1,25,0,8,2,0,2,2,0,3,SP
1967,Bachelor,Married,"22,574",2,1,25,0,8,2,0,2,2,0,3,SP
1957,Bachelor,Married,"55,267",0,1,161,28,136,32,3,4,3,4,6,CA
1958,Bachelor,Together,"66,886",0,1,315,4,62,41,31,2,7,1,7,SP
1971,Bachelor,Single,"72,258",0,1,522,0,522,227,120,2,6,9,5,CA
1984,PhD,Single,"82,733",0,0,712,50,420,65,38,1,8,4,7,SP
1963,Bachelor,Divorced,"45,146",1,1,33,0,5,0,0,2,1,1,2,IND
1990,Master,Single,"51,250",1,0,342,32,230,34,32,5,10,5,4,SA
1951,Bachelor,Married,"32,871",1,1,22,2,12,0,2,1,1,0,3,US
1978,Master,Together,"63,855",0,0,359,35,314,93,116,1,7,3,13,GER
1968,PhD,Divorced,"42,564",0,1,324,48,186,39,18,6,6,8,4,CA
1972,Master,Together,"46,344",0,1,233,20,57,8,20,4,7,1,5,CA
1963,Bachelor,Married,"50,437",0,2,370,9,92,6,9,3,7,1,8,SP
1960,Bachelor,Together,"70,971",0,1,1001,17,572,93,125,7,11,11,5,SP
1977,Bachelor,Single,"37,774",2,0,173,8,107,7,2,4,7,2,3,SP
1963,PhD,Married,"4,023",1,1,5,0,1,1,1,15,0,0,0,SP
1966,Bachelor,Single,"33,279",0,0,10,3,3,0,0,1,0,0,3,SP
1978,Bachelor,Married,"42,693",1,0,8,4,20,6,3,1,1,0,3,SP
1952,Master,Together,"70,545",0,1,138,39,63,55,18,1,4,1,7,AUS
1957,Bachelor,Widow,"65,486",0,1,245,19,125,37,67,1,4,2,10,AUS
1981,Master,Together,"77,882",0,0,68,129,396,188,22,1,3,3,5,SA
1960,Bachelor,Together,"78,468",0,0,434,22,388,104,22,1,10,7,10,US
1963,Bachelor,Together,"77,226",0,1,631,43,239,128,76,2,6,8,12,SP
1991,Master,Single,"90,638",0,0,1156,120,915,94,144,1,3,4,10,SP
1991,Master,Single,"90,638",0,0,1156,120,915,94,144,1,3,4,10,SA
1948,Bachelor,Together,"70,666",0,0,398,40,367,119,122,1,7,4,4,AUS
1959,Master,Divorced,"59,052",0,1,230,35,75,63,57,3,7,1,7,SA
1952,High School,Together,"13,084",0,0,2,0,7,3,7,1,1,0,3,US
1949,Bachelor,Divorced,"49,160",0,1,122,21,43,25,10,2,3,1,6,SP
1953,Bachelor,Divorced,"23,272",0,0,19,3,6,4,2,1,1,0,3,SP
1963,Master,Divorced,"49,476",0,1,386,23,95,54,41,4,2,11,5,CA
